Gesture_record,Body_part,Contact_recipient,Lateral_use,Repetition,Recording_number
HitRecipient,Hand,Extremity,Unimanual,Singular,R202629
Pull,Hand,Extremity,Unimanual,NA,R202630
Push,Hand,Extremity,Unimanual,NA,R200495
Push,Hand,Unclear,Unimanual,NA,R200496
Present,Head,NA,NA,NA,R203545
SpinPirouette,Body,NA,NA,Repeated,R201568
PlaceOnObject,Hand,NA,NA,NA,R200767
PlaceOnObject,Hand,NA,NA,NA,R200768
PlaceOnObject,Knuckles,NA,NA,NA,R200770
GazeStance,Body,NA,NA,NA,R200766
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201453
LocomoteGallop,Body,NA,NA,NA,R201454
Push,Fingers,Extremity,Unimanual,NA,R200467
Push,Hand,Extremity,Unimanual,NA,R200468
HitRecipient,Arm,Extremity,Unimanual,Singular,R200103
Pull,Hand,Extremity,Unimanual,NA,R200134
Pull,Hand,TorsoBack,Unimanual,NA,R200481
Present,Leg,NA,NA,NA,R200482
StompObject,Foot,NA,Bimanual,Repeated,R201236
Grab,Hand,TorsoBack,Unimanual,NA,R201606
Grab,Hand,TorsoBack,Unimanual,NA,R201607
TouchLong,Knuckles,TorsoBack,NA,NA,R201611
TouchLong,Hand,Extremity,NA,NA,R201469
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200512
Present,Body,NA,NA,NA,R200671
ObjectMove,Hand,NA,Unimanual,NA,R201428
LocomoteStiffRun,Body,NA,NA,NA,R201429
StiffStance,Body,NA,NA,NA,R201430
Raise,Hand,NA,NA,NA,R201431
Pull,Hand,Extremity,Unimanual,NA,R200675
StiffStance,Body,NA,NA,NA,R200678
Lunge,Body,NA,NA,NA,R200679
TouchLong,Hand,TorsoBack,NA,NA,R201399
Touch,Hand,TorsoBack,NA,NA,R201400
Kiss,Mouth,Head,NA,NA,R200622
Raise,Hand,NA,NA,NA,R200489
Raise,Hand,NA,NA,NA,R200490
HitRecipient,Hand,Extremity,Bimanual,Singular,R200491
Raise,Hand,NA,NA,NA,R200492
Push,Arm,TorsoBack,Unimanual,NA,R200655
Grab,Hand,Head,Unimanual,NA,R200261
Touch,Knuckles,Extremity,NA,NA,R200262
HitObject,Hand,NA,Unimanual,Singular,R201705
HitObject,Hand,NA,Unimanual,Repeated,R201706
HitObject,Hand,NA,Unimanual,Singular,R201707
Touch,Fingers,TorsoBack,NA,NA,R200250
Push,Fingers,TorsoBack,Unimanual,NA,R200251
Present,Leg,NA,NA,NA,R201380
Raise,Hand,NA,NA,NA,R200785
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201975
Pivot,Body,NA,NA,NA,R201564
GazeStance,Body,NA,NA,NA,R200759
GazeStance,Body,NA,NA,NA,R200760
Raise,Fist,NA,NA,NA,R200761
BodyCross,Arm,NA,NA,NA,R200762
LocomoteStiffWalk,Body,NA,NA,NA,R200763
Beckon,Hand,NA,NA,NA,R200764
BodyCross,Arm,NA,NA,NA,R200765
Push,Hand,TorsoBack,Unimanual,NA,R201537
Present,Leg,NA,NA,NA,R200465
Grab,Hand,Extremity,Unimanual,NA,R200466
Jab,Foot,TorsoBack,NA,NA,R201443
Pull,Hand,Extremity,Unimanual,NA,R203601
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R200505
Reach,Hand,NA,NA,NA,R201575
HitRecipientSoft,Fingers,Extremity,Unimanual,Singular,R200668
Present,Back,NA,NA,NA,R200480
Push,Hand,Extremity,Unimanual,NA,R201489
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201235
Touch,Hand,TorsoBack,NA,NA,R200239
TouchLong,Hand,TorsoBack,NA,NA,R203307
Reach,Hand,NA,NA,NA,R201490
TouchLong,Fingers,TorsoBack,NA,NA,R200478
Pull,Hand,Extremity,Unimanual,NA,R200479
Grab,Hand,Extremity,Unimanual,NA,R200669
Push,Fingers,Extremity,Unimanual,NA,R200670
LocomoteRecipient,Body,NA,NA,NA,R201126
HitRecipient,Hand,Unclear,Unimanual,Singular,R200507
Push,Hand,Extremity,Unimanual,NA,R200257
Grab,Fingers,Extremity,Unimanual,NA,R201128
Push,Hand,Head,Unimanual,NA,R201468
Lunge,Body,NA,NA,NA,R200677
HitObject,Hand,NA,Unimanual,Singular,R201450
Grab,Hand,Extremity,Unimanual,NA,R201180
Grab,Hand,Extremity,Unimanual,NA,R201181
ChestBeat,Hand,NA,Bimanual,Repeated,R201401
Touch,Knuckles,Extremity,NA,NA,R200516
Present,Back,NA,NA,NA,R201379
LeanIn,Body,TorsoFront,NA,NA,R200252
Push,Knuckles,TorsoFront,Unimanual,NA,R200498
Present,BodyFront,NA,NA,NA,R201444
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201560
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202843
Grab,Hand,Extremity,Unimanual,NA,R200685
Touch,Fingers,TorsoBack,NA,NA,R200686
Kiss,Mouth,Head,NA,NA,R200244
Kiss,Mouth,Head,NA,NA,R200245
Kiss,Mouth,Mouth,NA,NA,R200772
Grab,Hand,Head,Unimanual,NA,R200223
Jab,Foot,TorsoFront,NA,NA,R201274
Swing,Arm,NA,Unimanual,Singular,R201638
LocomoteStiffRun,Body,NA,NA,NA,R202643
HitRecipientSoft,Fingers,TorsoBack,Bimanual,Repeated,R201627
Kiss,Mouth,Head,NA,NA,R200246
Kiss,Mouth,Head,NA,NA,R200247
Reach,Hand,NA,NA,NA,R200395
Touch,Knuckles,TorsoBack,NA,NA,R201419
Touch,Fingers,TorsoBack,NA,NA,R201421
GrabHold,Hand,TorsoBack,Unimanual,NA,R201423
Touch,Hand,TorsoBack,NA,NA,R201420
Embrace,Arm,TorsoBack,Unimanual,NA,R201422
Turn,Body,NA,NA,NA,R201585
TouchLong,Knuckles,TorsoBack,NA,NA,R201189
GazeStance,Body,NA,NA,NA,R203352
LocomoteStiffWalk,Body,NA,NA,NA,R203353
Reach,Hand,NA,NA,NA,R203315
Grab,Hand,Head,Unimanual,NA,R203313
Fling,Arm,NA,Unimanual,NA,R203314
Push,Hand,TorsoBack,Unimanual,NA,R203321
Push,Hand,Extremity,Unimanual,NA,R200528
Touch,Fingers,Extremity,NA,NA,R200529
Touch,Hand,TorsoBack,NA,NA,R201266
Grab,Hand,TorsoBack,Unimanual,NA,R200487
Reach,Hand,NA,NA,NA,R200476
Push,Hand,Extremity,Unimanual,NA,R200488
Fling,Arm,NA,Unimanual,NA,R201382
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201561
Swing,Arm,NA,Unimanual,Repeated,R201562
Pivot,Body,NA,NA,NA,R203325
TouchLong,Arm,TorsoBack,NA,NA,R201389
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202827
ObjectMove,Hand,NA,Unimanual,NA,R200680
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200682
Fling,Arm,NA,Unimanual,NA,R200683
OverStance,Body,NA,NA,NA,R200684
Pull,Hand,TorsoBack,Unimanual,NA,R200681
Push,Fist,TorsoBack,Unimanual,NA,R200475
Lunge,Body,NA,NA,NA,R201608
Touch,Hand,TorsoBack,NA,NA,R201211
Touch,Hand,Extremity,NA,NA,R201220
LocomoteStiffWalk,Body,NA,NA,NA,R200690
Push,Foot,Extremity,Unimanual,NA,R200691
Reach,Hand,NA,NA,NA,R200515
Grab,Hand,Head,Unimanual,NA,R200220
Stroke,Fingers,Genitals,Unimanual,NA,R200221
GrabHold,Hand,TorsoBack,Unimanual,NA,R200240
Bite,Mouth,Head,NA,NA,R200474
Present,Leg,NA,NA,NA,R201361
Push,Hand,Unclear,Unimanual,NA,R200510
Push,Fingers,Extremity,Unimanual,NA,R200511
Grab,Hand,Extremity,Unimanual,NA,R200540
Reach,Hand,NA,NA,NA,R201581
Push,Hand,TorsoBack,Unimanual,NA,R201641
HitObject,Hand,NA,Unimanual,Repeated,R201620
Grab,Hand,Extremity,Unimanual,NA,R200537
Push,Fingers,Extremity,Unimanual,NA,R200538
Push,Fingers,Extremity,Unimanual,NA,R200539
Touch,Hand,TorsoBack,NA,NA,R201697
Embrace,Arm,TorsoBack,Bimanual,NA,R201698
Touch,Hand,TorsoBack,NA,NA,R201699
LocomoteRecipient,Body,NA,NA,NA,R201264
HitRecipient,Leg,TorsoBack,Unimanual,Singular,R201265
Raise,Hand,NA,NA,NA,R200460
Present,Body,NA,NA,NA,R200477
Pull,Hand,TorsoBack,Unimanual,NA,R200450
Fling,Arm,NA,Unimanual,NA,R200003
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201193
HitObject,Hand,NA,Unimanual,Repeated,R201194
Raise,Hand,NA,NA,NA,R200781
ObjectMove,Hand,NA,Unimanual,NA,R201644
ThrowObject,Hand,NA,NA,NA,R201645
Embrace,Arm,TorsoBack,Unimanual,NA,R201425
Embrace,Arm,TorsoBack,Unimanual,NA,R201426
Embrace,Arm,TorsoBack,Unimanual,NA,R201597
Pull,Hand,Extremity,Unimanual,NA,R201598
ChestBeat,Unclear,NA,Bimanual,Repeated,R201402
ObjectMove,Hand,NA,Unimanual,NA,R201169
LocomoteStiffRun,Body,NA,NA,NA,R201170
LocomoteStiffRun,Body,NA,NA,NA,R201171
LocomoteStiffWalk,Body,NA,NA,NA,R201172
Touch,Hand,TorsoBack,NA,NA,R201173
Bite,Mouth,TorsoFront,NA,NA,R201594
HitRecipient,Hand,TorsoFront,Bimanual,Repeated,R201595
