Signaller.matcat,Mat_cat,Season,Signaller,Gestural_data,Date,Clip_length,Social_unit,TV
ID12.cat-4,NA,Pilot,ID12,No,2019-08-03,0.78,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,1.12,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,Unk,2019-08-03,1.3,Muk,0
ID09.cat-1,NA,Pilot,ID09,Unk,2019-08-03,1.3,Muk,0
ID03.cat-4,NA,Pilot,ID03,Yes,2019-08-03,3.64,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,Yes,2019-08-03,3.64,Muk,0
ID09.cat-1,NA,Pilot,ID09,Yes,2019-08-03,3.64,Muk,0
ID12.cat-4,NA,Pilot,ID12,Yes,2019-08-03,3.64,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,1.1,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,No,2019-08-03,1.1,Muk,0
ID04.cat-3,NA,Pilot,ID04,No,2019-08-03,6.43,Muk,0
ID09.cat-1,NA,Pilot,ID09,No,2019-08-03,6.43,Muk,0
ID11.cat-4,NA,Pilot,ID11,No,2019-08-03,6.43,Muk,0
ID07.cat-3,NA,Pilot,ID07,No,2019-08-03,0.94,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,2.18,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,No,2019-08-03,2.18,Muk,0
ID09.cat-1,NA,Pilot,ID09,No,2019-08-03,2.18,Muk,0
ID12.cat-4,NA,Pilot,ID12,No,2019-08-03,2.18,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,0.57,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,No,2019-08-03,0.57,Muk,0
ID12.cat-4,NA,Pilot,ID12,No,2019-08-03,0.57,Muk,0
ID07.cat-3,NA,Pilot,ID07,Yes,2019-08-03,1.14,Muk,1
ID04.cat-3,NA,Pilot,ID04,No,2019-08-03,1.1,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,0.05,Muk,0
ID02.cat-4,NA,Pilot,ID02,No,2019-08-03,0.72,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,0.66,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,No,2019-08-03,0.66,Muk,0
ID12.cat-4,NA,Pilot,ID12,No,2019-08-03,0.66,Muk,0
ID03.cat-4,NA,Pilot,ID03,No,2019-08-03,2.27,Muk,0
ID08.cat-1,cat-1,Pilot,ID08,No,2019-08-03,2.27,Muk,0
ID09.cat-1,NA,Pilot,ID09,No,2019-08-03,2.27,Muk,0
