Context_post_signaller,Communication_number
Carrying,202155
Traveling,200837
Sexual interaction,200332
Playing,200714
Feeding,201027
Grooming,200232
Affiliating,200858a
Traveling,200861
Feeding,200722
Carrying,200310
Resting,200660
Resting,200312a
Playing,200237a
Carrying,200301
Traveling,200124
Other,200917a
Carrying,200118
Grooming,200677
Unknown,200240a
Unknown,200834
Sexual interaction,200331
Grooming,200222a
Traveling,200662
Other,202441
Playing,200242
Traveling,200840
Feeding,200308
Grooming,200231
Traveling,200732
Traveling,200591a
Affiliating,200113
Carrying,200733
Nursing,200230
Feeding,200309
Affiliating,200243a
Carrying,200122
Feeding,200721
Carrying,200716
Affiliating,200405
Resting,200645a
Other,200246
Grooming,200676
Grooming,200119
Grooming,200670
Playing,200831
Carrying,200688
Affiliating,200116
Playing,200103
Resting,200571a
Resting,200878
Resting,201243a
Affiliating,200871
Affiliating,200117
Other,200180
Affiliating,200802
Resting,200414
Sexual interaction,202129
Resting,200236a
Resting,200686
Resting,200832
Feeding,200694
Playing,200664
Resting,200313a
Grooming,200227
Traveling,200859
Unknown,200316
Carrying,200317
Playing,200101
Resting,200114
Grooming,200226
Grooming,200665
Carrying,200245
Carrying,200258
Other,200844a
Traveling,200881a
Feeding,200867a
Resting,200257a
Carrying,200909a
Unknown,200599a
Traveling,200220
Grooming,200229
Grooming,200212
Resting,200002
Playing,200559
Traveling,200883
Traveling,200659
Affiliating,200853
Resting,200696a
Playing,200408
Traveling,200409
Affiliating,200852
Resting,200413a
Grooming,200165
Resting,200882
Traveling,200848
Resting,200558
Carrying,200698
Affiliating,200213
Traveling,200221
Playing,200661a
Carrying,200001
Playing,200678
Resting,200177a
Affiliating,200248
Feeding,2000326
Resting,200004
Resting,200880
Nursing,202049
Grooming,200850
Traveling,200755
Resting,200126
Unknown,200754
Nursing,200768
Grooming,200851
Other,200327
Resting,200404
Resting,200311
Traveling,200763a
Grooming,200210
Carrying,200674
Resting,200214
Carrying,200877
Playing,200666
Feeding,200569
Resting,200223
Affiliating,200776
Carrying,200862
Playing,200835a
Playing,200174
Carrying,200885
Playing,200814
Playing,200911
Affiliating,200884
Playing,200815
Affiliating,200175
Nursing,200173
Affiliating,200652
Feeding,200875
Feeding,200915
Resting,200726
Carrying,200863
Nursing,200777
Traveling,200121a
Feeding,200035
Nursing,200719
Resting,200211
Resting,200866
Traveling,200575
Playing,202133
Resting,200650
Resting,200244a
Carrying,200829
Carrying,200564
Carrying,200672
Resting,200412a
Affiliating,200811a
Playing,200919
Traveling,200305
Carrying,200565
Playing,200176
Grooming,200675a
Traveling,200916
Carrying,200574
Other,200218
Playing,200663a
Affiliating,200163a
Playing,200818
Grooming,200206
Traveling,200306
Traveling,200825
Traveling,200398
Carrying,200839
Traveling,200401
Resting,200321a
Nursing,200185
Carrying,200762
Playing,200099
Affiliating,200091
Playing,200567
Other,200804
Playing,200573
Playing,200821
Playing,200856
Affiliating,200646a
Affiliating,200131
Grooming,200208
Carrying,200655a
Traveling,200823a
Traveling,200256
Other,200228
Grooming,200205
Playing,200836a
Resting,200826
Nursing,200178
Playing,200667
Resting,200106a
Playing,200876
Feeding,200903
Traveling,200827
Playing,200123a
Agonistic interaction,200570
Resting,200841a
Traveling,200120
Playing,200872
Affiliating,200209
Grooming,200199
Other,200105
Traveling,200109
Grooming,200200
Unknown,200846
Traveling,200921
Resting,200759
Resting,200849
Resting,200164
Carrying,200172
Traveling,200920
Resting,200847
Grooming,200201
Resting,200108
Resting,200697
Other,200104
Affiliating,200032
Traveling,200656
Feeding,200710
Affiliating,200203
Affiliating,200692a
Traveling,200756a
Grooming,200247
Traveling,200170
Nursing,200249
Other,200095a
Resting,200328
Carrying,200689
Resting,200600
Affiliating,200202
Feeding,200215a
Resting,200711
Carrying,200671a
Carrying,200031
Carrying,200874
Traveling,200235a
Nursing,201314
Affiliating,200088
Resting,200855
Affiliating,201493
Feeding,200030
Feeding,200034
Feeding,200695
Carrying,200234
Resting,200181
Resting,200854
Traveling,202117
Traveling,200589a
Affiliating,201029
Other,200239a
Affiliating,200775
Carrying,200225
Playing,200092
Traveling,200668
Grooming,200254
Resting,200879
Playing,200183
Grooming,200207
Playing,200130
Grooming,200217
Affiliating,200803
Other,200115a
Resting,200319
Traveling,200318
Carrying,200869
Sexual interaction,200302a
Carrying,200300
Grooming,200182
Playing,200255
Affiliating,200224
Affiliating,200774
Unknown,200325
Grooming,200251
Other,200238
Playing,201028
Other,200647a
Resting,200233
Affiliating,200111
Affiliating,200857a
Feeding,200594
Resting,200320
Other,200241a
Resting,200107
Feeding,200033
