Gesture_record,Morph,Recording_number,Body_part,Contact_recipient,Lateral_use,Repetition
Gesture_record_49,Morph_118,Recording_number_444,Body_part_16,Contact_recipient_2,Lateral_use_1,Repetition_2
Gesture_record_65,Morph_2,Recording_number_1887,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_82,Recording_number_2725,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,NA,Recording_number_1848,Body_part_16,Contact_recipient_1,Lateral_use_1,NA
Gesture_record_18,NA,Recording_number_2960,Body_part_9,NA,NA,NA
Gesture_record_75,Morph_24,Recording_number_1034,Body_part_12,NA,NA,Repetition_3
Gesture_record_47,Morph_113,Recording_number_3015,Body_part_16,NA,NA,NA
Gesture_record_47,Morph_113,Recording_number_1225,Body_part_16,NA,NA,NA
Gesture_record_47,Morph_18,Recording_number_1769,Body_part_2,NA,NA,NA
Gesture_record_24,Morph_69,Recording_number_1945,Body_part_12,NA,NA,NA
Gesture_record_37,Morph_110,Recording_number_2898,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_20,Morph_104,Recording_number_181,Body_part_12,NA,NA,NA
Gesture_record_25,Morph_55,Recording_number_751,Body_part_15,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_25,Morph_82,Recording_number_1308,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_49,Morph_40,Recording_number_1788,Body_part_14,Contact_recipient_2,Lateral_use_1,Repetition_2
Gesture_record_65,Morph_2,Recording_number_463,Body_part_16,Contact_recipient_2,Lateral_use_1,NA
Gesture_record_65,Morph_21,Recording_number_2653,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_18,Morph_100,Recording_number_1337,Body_part_5,NA,NA,NA
Gesture_record_26,Morph_57,Recording_number_2132,Body_part_6,NA,Lateral_use_2,Repetition_3
Gesture_record_3,Morph_114,Recording_number_3033,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_3,Morph_114,Recording_number_464,Body_part_16,Contact_recipient_6,Lateral_use_1,NA
Gesture_record_41,Morph_103,Recording_number_984,Body_part_2,Contact_recipient_6,NA,NA
Gesture_record_41,Morph_42,Recording_number_225,Body_part_16,Contact_recipient_2,NA,NA
Gesture_record_37,Morph_110,Recording_number_1126,Body_part_16,NA,Lateral_use_2,Repetition_3
Gesture_record_18,Morph_121,Recording_number_2219,Body_part_12,NA,NA,NA
