Gesture_action,Signaller,Social_unit,Recording_number,Communication_number,Sgn_sex,Date,Season,Age_cat,Mat_cat,Sex_cat,Clip_name,Signaller.matcat
GA01,ID01,UNIT1,REC000001,COM000001,female,2020-03-17,FS1,saf+nf,cat-3,saf+nf,CLIP0001,ID01.cat-3
GA02,ID01,UNIT1,REC000002,COM000001,female,2020-03-17,FS1,saf+nf,cat-3,saf+nf,CLIP0001,ID01.cat-3
GA03,ID02,UNIT1,REC000003,COM000002,female,2020-01-07,FS1,af,cat-4,af,CLIP0002,ID02.cat-4
GA03,ID02,UNIT1,REC000004,COM000002,female,2020-01-07,FS1,af,cat-4,af,CLIP0002,ID02.cat-4
GA04,ID03,UNIT1,REC000005,COM000003,female,2020-01-30,FS1,af,cat-4,af,CLIP0003,ID03.cat-4
GA05,ID01,UNIT1,REC000006,COM000004,female,2020-03-08,FS1,saf+nf,cat-3,saf+nf,CLIP0004,ID01.cat-3
GA06,ID04,UNIT1,REC000007,COM000005,female,2019-12-15,FS1,af,cat-4,af,CLIP0005,ID04.cat-4
GA06,ID04,UNIT1,REC000008,COM000005,female,2019-12-15,FS1,af,cat-4,af,CLIP0005,ID04.cat-4
GA06,ID04,UNIT1,REC000009,COM000005,female,2019-12-15,FS1,af,cat-4,af,CLIP0005,ID04.cat-4
GA07,ID04,UNIT1,REC000010,COM000005,female,2019-12-15,FS1,af,cat-4,af,CLIP0005,ID04.cat-4
GA08,ID01,UNIT1,REC000011,COM000006,female,2020-02-18,FS1,saf+nf,cat-3,saf+nf,CLIP0006,ID01.cat-3
GA09,ID01,UNIT1,REC000012,COM000006,female,2020-02-18,FS1,saf+nf,cat-3,saf+nf,CLIP0006,ID01.cat-3
GA03,ID05,UNIT1,REC000013,COM000007,female,2020-01-06,FS1,af,cat-4,af,CLIP0007,ID05.cat-4
GA03,ID05,UNIT1,REC000014,COM000007,female,2020-01-06,FS1,af,cat-4,af,CLIP0007,ID05.cat-4
GA01,ID06,UNIT1,REC000015,COM000008,female,2019-12-15,FS1,juv,cat-2,NA,CLIP0008,ID06.cat-2
GA02,ID06,UNIT1,REC000016,COM000008,female,2019-12-15,FS1,juv,cat-2,NA,CLIP0008,ID06.cat-2
GA02,ID02,UNIT1,REC000017,COM000009,female,2020-01-07,FS1,af,cat-4,af,CLIP0009,ID02.cat-4
GA04,ID02,UNIT1,REC000018,COM000009,female,2020-01-07,FS1,af,cat-4,af,CLIP0009,ID02.cat-4
GA10,ID07,UNIT1,REC000019,COM000010,male,2020-01-31,FS1,sam+bb,cat-3,sam+bb,CLIP0010,ID07.cat-3
GA11,ID08,UNIT1,REC000020,COM000011,male,2020-03-09,FS1,inf,cat-1,NA,CLIP0011,ID08.cat-1
GA11,ID08,UNIT1,REC000021,COM000011,male,2020-03-09,FS1,inf,cat-1,NA,CLIP0011,ID08.cat-1
GA12,ID07,UNIT1,REC000022,COM000012,male,2020-03-09,FS1,sam+bb,cat-3,sam+bb,CLIP0011,ID07.cat-3
GA12,ID09,UNIT1,REC000023,COM000013,female,2020-02-18,FS1,inf,cat-1,NA,CLIP0012,ID09.cat-1
GA08,ID01,UNIT1,REC000024,COM000014,female,2020-01-07,FS1,saf+nf,cat-3,saf+nf,CLIP0013,ID01.cat-3
GA04,ID03,UNIT1,REC000025,COM000015,female,2020-01-14,FS1,af,cat-4,af,CLIP0014,ID03.cat-4
GA13,ID07,UNIT1,REC000026,COM000016,male,2020-02-09,FS1,sam+bb,cat-3,sam+bb,CLIP0015,ID07.cat-3
GA14,ID07,UNIT1,REC000027,COM000016,male,2020-02-09,FS1,sam+bb,cat-3,sam+bb,CLIP0015,ID07.cat-3
GA15,ID07,UNIT1,REC000028,COM000016,male,2020-02-09,FS1,sam+bb,cat-3,sam+bb,CLIP0015,ID07.cat-3
GA16,ID07,UNIT1,REC000029,COM000016,male,2020-02-09,FS1,sam+bb,cat-3,sam+bb,CLIP0015,ID07.cat-3
GA02,ID03,UNIT1,REC000030,COM000017,female,2020-01-14,FS1,af,cat-4,af,CLIP0016,ID03.cat-4
